No.,Chinese Hospital Name (if applicable),Hospital,Province,City,Department,Doctor's Name,Can HRT Guidance,Can Continue HRT,Can Initial HRT,Evidence Required,MtF HRT Medication,FtM HRT Medication,FTM,MTF,Note
12,北京大学第三医院,Peking University Third Hospital,,Beijing,Medical Psychology,Meng Han,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
13,北京大学第三医院,Peking University Third Hospital,,Beijing,Molding,Wenhui Yang,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
14,中南大学湘雅三医院,Third Xiangya Hospital of Central South University,Hunan,Changsha,Urology,Z.Long,No,Yes,Yes,"ID and diagnosis of ""transsexualism"" or a related medical perscription","Estreva
Progynova
Spironolactone
can perscribe Cyproterone acetate, but cannot pickup within the hospital",Testosterone Undecanoate Soft Capsules,Yes,Yes,Community report
15,浙江大学医学院附属第二医院,The Second Affiliated Hospital of Zhejiang University School of Medicine,Zhejiang,Hangzhou,Endocrinology,,Likely,Yes,Likely,psychiatric medical records,"Estradiol Valerate Tablets (Progynova)
Spironolactone Tablets",,not mentioned,Yes,Community report
16,暨南大学附属第一医院（东圃院区）,The First Affiliated Hospital of Jinan University (Dongpu Campus),Guangdong,Guangzhou,Gender-Specific Medicine and Intimate Rejuvenation,L.Gao,Yes,Yes,Not Sure,psychiatric medical records,"Progynova
Estradiol Gel
Cyproterone Acetate
spironolactone
",Not Sure,not mentioned,Yes,Community report
17,大连医科大学附属第二医院,The Second Hospital of Dalian Medical University,Liaoning,Dalian,Endocrinology,X.Zhang,No,Yes,Not Sure,"diagnosis of ""transsexualism"" ","Progynova
Cyproterone
Estradiol gel
Estradiol valerate injection (Rici)",Not Sure,not mentioned,Yes,Community report
18,山东大学齐鲁医院,Qilu Hospital of Shandong University,Shandong,Qingdao,Endocrinology,L.He,Yes,Yes,Not Sure,must first see Dr. Gao Jin at the same hospital before scheduling appointment,"Progynova
Spironolactone",Not Sure,not mentioned,Yes,Community report
19,华中科技大学协和深圳医院,"Union Shenzhen Hospital, Huazhong University of Science and Technology",Guangdong,Shenzhen,Endocrinology,Unknown,Unknown,Yes,Not Sure,Unknown,Estradiol gel,Not Sure,not mentioned,Yes,Community report
20,台州市第四人民医院,Taizhou Fourth People's Hospital,Jiangsu,Taizhou,Endocrinology,Jiawei Ren,Unknown,Yes,Not Sure,Diagnosis certificate + previous prescription,Progynova (estradiol valerate),,not mentioned,Yes,Community report
21,浙江大学医学院附属第一医院,"The First Affiliated Hospital, Zhejiang University School of Medicine",Zhejiang,Hangzhou,Endocrinology,Unknown,Unknown,Yes,Not Sure,Diagnosis certificate + previous prescription,Estradiol gel,Testosterone Undecanoate Soft Capsules.,Yes,Yes,Community report
22,甘肃省妇幼保健院,Gansu Provincial Maternal and Child Health Hospital,Gansu,Lanzhou,Endocrinology,Juan Fu,Unknown,Yes,Not Sure,Previous prescription or medical record,Progynova (estradiol valerate),,not mentioned,Yes,Community report
23,兰州大学第一医院,The First Hospital of Lanzhou University,Gansu,Lanzhou,Endocrinology,Ying Niu,Unknown,Yes,Not Sure,Previous prescription or medical record,Estradiol valerate tablets (Xianju Pharmaceutical),,not mentioned,Yes,Community report
24,上海四一一医院,Shanghai 411 Hospital,,Shanghai,Plastic Surgery,Yede Zhao,Unknown,Yes,Not Sure,Unknown,Not Sure,,not mentioned,Yes,Community report
25,海军军医大学附属长海医院,Shanghai Changhai Hospital,,Shanghai,Endocrinology,General Outpatient Clinic,Yes,Yes,Not Sure,Unknown,estradiol gel,,not mentioned,Yes,Community report
26,海军军医大学附属长征医院,Shanghai Changzheng Hospital,,Shanghai,Endocrinology,General Outpatient Clinic,Yes,Yes,Not Sure,Unknown,estradiol gel,,not mentioned,Yes,Community report
27,上海市浦东新区人民医院,Pudong New Area People's Hospital,,Shanghai,Endocrinology,Ying Wang (Specialist Clinic),Yes,Yes,Not Sure,Diagnosis certificate,May issue a handwritten prescription upon presentation of a diagnosis certificate.,,not mentioned,Yes,Community report
28,云南九洲医院,Yunnan Jiuzhou Hospital,Yunnan,Kunming,Not Sure,,No,Yes,No,Medication available for purchase within the hospital,Not Sure,"Medication available for purchase within the hospital
",Yes,Not Sure,
29,中山大学孙逸仙纪念医院,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University",Guangdong,Guangzhou,Not Sure,Chengzhi Wang,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,
30,中山大学附属第三医院,"The Third Affiliated Hospital, Sun Yat-sen University",Guangdong,Guangzhou,Not Sure,,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Not including Trans Youth related Data,,,,,,,,,,,,
,,,Not including GnRH( puberty hormone blocker),,,,,,,,,,,,
,,,As of Jul 20 2026,,,,,,,,,,,,
